"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 31 13:32:27 GMT 2023","Thu Aug 31 13:32:27 GMT 2023","0","tests","test_select_menu","TestSelect","","","test_select_menu[chromium]","Test to verify the dropdown menus on the page

            :param test_setup: setting up the browser and page objects
            :return: None
            "
"passed","Thu Aug 31 13:31:53 GMT 2023","Thu Aug 31 13:31:54 GMT 2023","810","tests","test_buttons","TestButtons","","","test_dynamic_button","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Thu Aug 31 13:31:54 GMT 2023","Thu Aug 31 13:31:54 GMT 2023","0","tests","test_check_boxes","TestCheckBoxes","","","test_text_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Aug 31 13:32:27 GMT 2023","Thu Aug 31 13:32:27 GMT 2023","307","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Aug 31 13:31:50 GMT 2023","Thu Aug 31 13:31:51 GMT 2023","632","tests","test_buttons","TestButtons","","","test_rmb_click_button","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Aug 31 13:31:37 GMT 2023","Thu Aug 31 13:31:38 GMT 2023","815","tests","test_buttons","TestButtons","","","test_double_click_button","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Thu Aug 31 13:32:57 GMT 2023","Thu Aug 31 13:32:57 GMT 2023","0","tests","test_text_boxes","TestTextBoxes","","","test_text_boxes[chromium]","Test to verify the input fields and output form on the page

            :param test_setup: setting up the browser and page objects
            :return: None
            "
